customer_id,recency,frequency,monetary,avg_order_value,avg_quantity,discount_rate
12346,325,1,77183.6,77183.6,74215.0,0.0
12347,1,7,4310.0,23.681318681318682,13.505494505494505,0.0
12348,74,4,1437.24,53.23111111111111,86.37037037037037,0.0
12349,18,1,1457.55,20.24375,8.75,0.0
12350,309,1,294.4,18.4,12.25,0.0
12352,35,7,1385.74,17.996623376623376,6.8311688311688314,0.0
12353,203,1,89.0,22.25,5.0,0.0
12354,231,1,1079.4,18.610344827586207,9.137931034482758,0.0
12355,213,1,459.4,35.33846153846154,18.46153846153846,0.0
12356,22,3,2487.43,42.88672413793103,27.120689655172413,0.0
12357,32,1,6207.67,47.38679389312977,20.671755725190838,0.0
12358,1,2,928.0600000000001,54.591764705882355,14.235294117647058,0.0
12359,7,4,6310.03,25.755224489795918,6.56734693877551,0.0
12360,51,3,2302.06,18.27031746031746,9.174603174603174,0.0
12361,286,1,174.9,19.433333333333334,10.0,0.0
12362,2,10,4737.23,18.5048046875,8.58203125,0.0
12363,109,2,552.0,24.0,17.73913043478261,0.0
12364,7,4,1208.1,14.914814814814815,18.506172839506174,0.0
12365,290,1,320.69,15.27095238095238,8.238095238095237,0.0
12367,3,1,150.9,15.09,17.2,0.0
12370,50,4,3421.94,20.739030303030304,14.236363636363636,0.0
12371,44,1,1527.96,24.644516129032258,9.387096774193548,0.0
12372,71,3,1196.04,24.408979591836733,16.081632653061224,0.0
12373,310,1,324.6,24.96923076923077,15.076923076923077,0.0
12374,24,1,622.93,19.4665625,10.59375,0.0
12375,2,2,377.5,25.166666666666668,11.733333333333333,0.0
12377,314,2,1548.12,20.369999999999997,12.394736842105264,0.0
12378,129,1,4008.62,18.30420091324201,11.547945205479452,0.0
12379,81,2,777.24,20.453684210526315,10.578947368421053,0.0
12380,21,4,2427.81,24.2781,11.1,0.0
12381,4,3,1474.81,17.985487804878048,9.71951219512195,0.0
12383,184,5,1628.56,17.325106382978724,16.148936170212767,0.0
12384,28,2,425.27,17.0108,4.88,0.0
12386,337,2,401.9,40.19,35.4,0.0
12388,15,6,2780.66,27.8066,14.62,0.0
12390,79,1,504.84,16.28516129032258,11.290322580645162,0.0
12391,21,1,439.66,4.72752688172043,3.150537634408602,0.0
12393,71,4,1582.6,24.728125,12.75,0.0
12394,63,2,1080.48,43.2192,32.32,0.0
12395,15,12,2682.63,18.629375,14.5625,0.0
12397,35,2,2214.9,17.86209677419355,10.080645161290322,0.0
12398,45,1,1435.66,17.091190476190476,16.535714285714285,0.0
12399,118,4,1033.65,18.793636363636367,21.327272727272728,0.0
12401,302,1,69.3,17.325,2.5,0.0
12402,322,1,195.6,19.56,9.2,0.0
12403,49,1,391.7,97.925,23.5,0.0
12405,148,1,1390.3899999999999,26.23377358490566,16.0188679245283,0.0
12406,21,2,3415.2999999999997,32.526666666666664,17.314285714285713,0.0
12407,49,5,1507.12,20.932222222222222,19.48611111111111,0.0
12408,32,5,2618.55,25.92623762376238,13.772277227722773,0.0
12409,78,3,11072.67,101.58412844036697,50.92660550458716,0.0
12410,300,2,533.33,21.3332,8.28,0.0
12412,74,3,1142.8799999999999,19.704827586206896,14.206896551724139,0.0
12413,66,3,686.1,19.058333333333334,7.833333333333333,0.0
12414,216,3,442.41,29.494000000000003,19.8,0.0
12415,23,20,124564.53,174.70481065918653,108.51753155680224,0.0
12417,2,9,3226.1,17.62896174863388,8.344262295081966,0.0
12418,112,1,668.58,19.664117647058823,11.970588235294118,0.0
12420,63,1,600.39,20.70310344827586,11.89655172413793,0.0
